# Ping Test: 公曆 20廿五年 四月 十一日 週五 十二時十九分廿八秒
# Target: 10.45.0.61
# Interface: ogstun
# Metadata: nFAPI-100M-UDP-DL
# Format: timestamp,seq,ttl,rtt_ms
2025-04-11 12:19:29.004,1,64,26.7
2025-04-11 12:19:30.002,2,64,24.9
2025-04-11 12:19:31.001,3,64,23.8
2025-04-11 12:19:32.001,4,64,22.2
2025-04-11 12:19:33.006,5,64,25.9
2025-04-11 12:19:34.007,6,64,24.9
2025-04-11 12:19:35.006,7,64,24.8
2025-04-11 12:19:35.998,8,64,14.3
2025-04-11 12:19:37.006,9,64,23.3
2025-04-11 12:19:38.006,10,64,23.3
2025-04-11 12:19:39.006,11,64,23.3
2025-04-11 12:19:40.007,12,64,23.4
2025-04-11 12:19:40.997,13,64,13.7
2025-04-11 12:19:42.011,14,64,26.6
2025-04-11 12:19:43.011,15,64,25.9
2025-04-11 12:19:44.011,16,64,24.9
2025-04-11 12:19:45.011,17,64,24.3
2025-04-11 12:19:45.997,18,64,9.23
2025-04-11 12:19:47.012,19,64,22.5
2025-04-11 12:19:48.016,20,64,26.9
2025-04-11 12:19:49.016,21,64,26.2
2025-04-11 12:19:50.017,22,64,26.0
2025-04-11 12:19:51.011,23,64,20.9
2025-04-11 12:19:52.024,24,64,32.5
2025-04-11 12:19:53.024,25,64,31.9
2025-04-11 12:19:54.034,26,64,40.9
2025-04-11 12:19:55.019,27,64,25.4
2025-04-11 12:19:56.034,28,64,40.0
2025-04-11 12:19:57.019,29,64,25.3
2025-04-11 12:19:58.034,30,64,39.9
2025-04-11 12:19:59.039,31,64,43.9
2025-04-11 12:20:00.024,32,64,29.5
2025-04-11 12:20:01.027,33,64,31.3
2025-04-11 12:20:02.026,34,64,30.9
2025-04-11 12:20:03.026,35,64,30.8
2025-04-11 12:20:04.026,36,64,29.9
2025-04-11 12:20:05.017,37,64,20.1
2025-04-11 12:20:06.027,38,64,29.6
2025-04-11 12:20:07.026,39,64,29.6
2025-04-11 12:20:08.027,40,64,29.1
2025-04-11 12:20:09.017,41,64,19.3
2025-04-11 12:20:10.035,42,64,36.4
2025-04-11 12:20:11.024,43,64,25.9
2025-04-11 12:20:12.034,44,64,35.0
2025-04-11 12:20:13.034,45,64,35.0
2025-04-11 12:20:14.025,46,64,25.0
2025-04-11 12:20:15.034,47,64,35.0
2025-04-11 12:20:16.025,48,64,25.0
2025-04-11 12:20:17.034,49,64,35.0
2025-04-11 12:20:18.034,50,64,34.9
2025-04-11 12:20:19.027,51,64,26.3
2025-04-11 12:20:20.032,52,64,31.0
2025-04-11 12:20:21.027,53,64,25.8
2025-04-11 12:20:22.027,54,64,24.9
2025-04-11 12:20:23.027,55,64,24.7
2025-04-11 12:20:24.028,56,64,22.4
2025-04-11 12:20:25.032,57,64,25.8
2025-04-11 12:20:26.018,58,64,9.97
2025-04-11 12:20:27.032,59,64,23.4
2025-04-11 12:20:28.037,60,64,26.9
2025-04-11 12:20:29.037,61,64,25.6
2025-04-11 12:20:30.052,62,64,38.9
2025-04-11 12:20:31.036,63,64,22.8
2025-04-11 12:20:32.045,64,64,28.1
2025-04-11 12:20:33.054,65,64,37.1
2025-04-11 12:20:34.054,66,64,36.5
2025-04-11 12:20:35.060,67,64,40.1
2025-04-11 12:20:36.054,68,64,33.9
2025-04-11 12:20:37.059,69,64,38.2
2025-04-11 12:20:38.049,70,64,26.8
2025-04-11 12:20:39.049,71,64,25.5
2025-04-11 12:20:40.059,72,64,34.0
2025-04-11 12:20:41.052,73,64,25.4
2025-04-11 12:20:42.053,74,64,23.9
2025-04-11 12:20:43.052,75,64,22.8
2025-04-11 12:20:44.057,76,64,26.0
2025-04-11 12:20:45.057,77,64,25.7
2025-04-11 12:20:46.107,78,64,73.9
2025-04-11 12:20:47.077,79,64,42.3
2025-04-11 12:20:48.074,80,64,38.3
2025-04-11 12:20:49.064,81,64,26.9
2025-04-11 12:20:51.104,83,64,33.2
2025-04-11 12:20:52.104,84,64,32.7
2025-04-11 12:20:53.125,85,64,51.0
2025-04-11 12:20:54.119,86,64,45.6
2025-04-11 12:20:55.099,87,64,24.2
2025-04-11 12:20:56.114,88,64,37.9
2025-04-11 12:20:57.107,89,64,28.3
2025-04-11 12:20:58.107,90,64,27.7
2025-04-11 12:20:59.107,91,64,25.9
2025-04-11 12:21:00.122,92,64,39.0
2025-04-11 12:21:01.112,93,64,28.6
2025-04-11 12:21:02.115,94,64,29.5
2025-04-11 12:21:03.114,95,64,27.9
2025-04-11 12:21:04.112,96,64,23.4
