Target (Mbps),UE Avg (Mbps),UE Min (Mbps),UE Max (Mbps),Ping Avg (ms),Ping Min (ms),Ping Max (ms),Remote CPU (%)
100,99.88,98.2,105.77,15.14,8.32,25.5,14.32
110,109.92,108.69,112.53,14.13,5.89,23.9,15.13
120,119.52,117.84,123.99,17.41,6.94,79.0,16.25
130,128.37,125.82,130.47,15.53,6.1,23.0,17.63
140,137.11,133.8,140.63,17.09,7.78,24.7,18.56
150,145.83,142.02,149.26,16.43,6.87,25.5,20.01
160,156.05,153.33,160.53,16.2,7.64,23.0,20.88
170,165.48,161.26,168.36,15.38,6.46,24.9,22.23
180,174.52,171.53,177.19,19.06,9.61,25.0,22.92
190,185.11,179.97,189.06,18.6,12.7,38.0,24.09
200,195.05,189.57,199.5,17.18,6.71,25.4,24.29
210,205.81,195.17,226.04,15.15,7.1,22.3,25.69
220,216.69,206.48,229.27,14.32,7.92,20.8,26.96
230,151.84,0.0,233.27,16.23,7.46,26.1,27.56
240,227.41,220.46,232.36,15.35,6.64,23.7,29.0
250,228.28,219.98,237.67,16.16,8.75,21.9,29.79
260,215.12,174.89,238.08,1045.6,14.8,2552.0,30.7
270,209.57,183.26,227.4,1207.48,15.9,2734.0,32.12
280,223.07,215.76,230.23,15.77,7.96,22.5,32.5
290,195.58,98.74,225.69,1408.93,10.3,3389.0,33.69
300,218.81,197.75,227.94,16.27,6.68,22.7,35.29
