Target (Mbps),UE Avg (Mbps),UE Min (Mbps),UE Max (Mbps),Ping Avg (ms),Ping Min (ms),Ping Max (ms),Remote CPU (%)
100,73.1,19.76,100.28,2853.84,26.4,4117.0,14.37
110,101.57,21.12,154.23,415.22,16.3,2847.0,15.36
120,96.58,17.34,120.66,2313.05,24.9,4659.0,16.6
130,107.65,0.0,140.4,34.06,17.4,147.0,17.32
140,138.98,133.07,178.87,165.02,18.3,1295.0,18.33
150,94.02,0.0,216.06,310.47,14.9,2441.0,20.29
160,156.63,152.19,180.69,39.46,9.16,238.0,20.69
170,149.78,21.56,218.64,45.84,15.3,274.0,22.52
180,165.94,22.52,232.17,330.2,17.2,1605.0,22.64
190,161.57,21.37,236.25,2045.43,17.9,3851.0,23.31
200,135.67,0.0,235.89,491.71,16.8,2543.0,24.15
210,167.55,21.62,231.79,841.46,22.9,2882.0,25.96
220,182.66,21.19,233.33,928.65,19.1,3735.0,26.18
230,127.92,0.0,237.99,351.84,16.0,887.0,0.0
240,95.7,0.0,233.67,1522.06,19.7,3910.0,29.01
250,22.79,22.79,22.79,802.15,26.4,2519.0,30.87
260,80.87,21.88,230.62,2108.5,23.0,3816.0,30.93
270,20.27,20.16,20.38,3191.57,22.9,4455.0,32.38
280,182.2,21.31,225.77,2981.86,25.9,4048.0,32.3
290,117.26,0.0,222.43,2884.53,20.4,4380.0,33.22
300,21.13,20.97,21.3,2936.21,24.9,4057.0,34.21
